Core.Based.Statistical.Area.CBSA.,State,Population.2010,log.pop.2010,O3.8.hr.ppm.,PM2.5.Wtd.AM._g.m3.,PM2.5.24.hr._g.m3.,SO2.1.hr.ppb.,CO.8.hr.ppm.,Pb.3.mo.microg.m3.,NO2.AM.ppb.,NO2.1.hr.ppb.,PM10.24.hr.microg.m3.,Per.capita.personal.income.Dollars.2014,Per.capita.personal.income.Dollars.2015,Per.capita.personal.income.Percent.growth,Real.per.capita.personal.income.2014.Chained.2009.dollars,Real.per.capita.personal.income.2015.Chained.2009.dollars,Real.per.capita.personal.income.Percent.growth.x,Total.Adjusted.Sales.of.Distillate.Fuel.Oil,Population.State,Total.Adjusted.Sales.of.Distillate.Fuel.Oil.per.Capita,Electricty.sale.2015,Electricty.sale.2015.per.Capita,Average.temperature,Average.annual.precipitation...rainfall,X2015.GDP,X2015.GDP.per.Capita
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Maryland,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"808,485","5,994,983",0.134860266,61782,0.010305617,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Maryland,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"808,485","5,994,983",0.134860266,61782,0.010305617,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Virginia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"1,392,675","8,367,587",0.166436871,112009,0.013386057,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Virginia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"1,392,675","8,367,587",0.166436871,112009,0.013386057,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Virginia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"1,392,675","8,367,587",0.166436871,112009,0.013386057,55.7,40.78,491042,87122.38957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Virginia,5636232,6.750988861,0.076,8.5,20,8,2,0.01,18,59,41,62486,64882,3.8,48268,49991,3.6,"1,392,675","8,367,587",0.166436871,112009,0.013386057,55.7,40.78,491042,87122.38957
"Waterloo-Cedar Falls, IA",Iowa,167819,5.224841129,0.063,7.5,20,NA,NA,NA,NA,NA,40,40830,41478,1.6,41276,41882,1.5,"1,095,423","3,121,997",0.350872534,47147,0.015101552,47.85,34.49,9283,55315.5483
"Watertown-Fort Drum, NY",New York,116229,5.065314501,0.068,NA,NA,NA,NA,NA,NA,NA,NA,42533,43170,1.5,39726,40282,1.4,"2,621,582","19,747,183",0.132757265,148914,0.007541025,46,43.12,6436,55373.4438
"Wausau, WI",Wisconsin,134063,5.127308934,0.064,NA,NA,NA,NA,NA,NA,NA,NA,42932,43921,2.3,43172,44180,2.3,"1,102,031","5,767,891",0.191063077,68699,0.011910593,43.4,32.4,7653,57085.10178
"Weirton-Steubenville, WV-OH",West Virginia,124454,5.09500886,0.067,9.1,22,49,1,NA,NA,NA,42,35053,36529,4.2,37280,39132,5,"495,967","1,841,053",0.269393114,32303,0.017545937,51.3,41.47,3959,31810.95023
"Weirton-Steubenville, WV-OH",West Virginia,124454,5.09500886,0.067,9.1,22,49,1,NA,NA,NA,42,35053,36529,4.2,37280,39132,5,"495,967","1,841,053",0.269393114,32303,0.017545937,51.3,41.47,3959,31810.95023
"Weirton-Steubenville, WV-OH",Ohio,124454,5.09500886,0.067,9.1,22,49,1,NA,NA,NA,42,35053,36529,4.2,37280,39132,5,"2,228,586","11,605,090",0.192035219,149213,0.012857548,51.3,41.47,3959,31810.95023
"Weirton-Steubenville, WV-OH",Ohio,124454,5.09500886,0.067,9.1,22,49,1,NA,NA,NA,42,35053,36529,4.2,37280,39132,5,"2,228,586","11,605,090",0.192035219,149213,0.012857548,51.3,41.47,3959,31810.95023
"Wenatchee, WA",Washington,110884,5.044868884,NA,NA,NA,NA,NA,NA,NA,NA,NA,40007,41836,4.6,38648,40428,4.6,"1,086,935","7,160,290",0.151800416,90116,0.012585524,52.35,9.09,4405,39726.20035
"Wheeling, WV-OH",Ohio,147950,5.170114969,0.069,9,22,8,1,NA,7,44,122,39856,40594,1.9,42688,43142,1.1,"2,228,586","11,605,090",0.192035219,149213,0.012857548,52.95,40.4,7223,48820.54748
"Wheeling, WV-OH",Ohio,147950,5.170114969,0.069,9,22,8,1,NA,7,44,122,39856,40594,1.9,42688,43142,1.1,"2,228,586","11,605,090",0.192035219,149213,0.012857548,52.95,40.4,7223,48820.54748
"Wheeling, WV-OH",West Virginia,147950,5.170114969,0.069,9,22,8,1,NA,7,44,122,39856,40594,1.9,42688,43142,1.1,"495,967","1,841,053",0.269393114,32303,0.017545937,52.95,40.4,7223,48820.54748
"Wheeling, WV-OH",West Virginia,147950,5.170114969,0.069,9,22,8,1,NA,7,44,122,39856,40594,1.9,42688,43142,1.1,"495,967","1,841,053",0.269393114,32303,0.017545937,52.95,40.4,7223,48820.54748
"Wichita, KS",Kansas,630919,5.799973606,0.064,7.4,20,3,NA,NA,7,36,88,47516,48321,1.7,48285,48890,1.3,"960,794","2,906,721",0.330542216,39849,0.013709262,56.65,34.33,31473,49884.37501
"Williamsport, PA",Pennsylvania,116111,5.064873365,0.065,NA,NA,NA,NA,NA,NA,NA,27,39944,41171,3.1,39285,40632,3.4,"2,723,811","12,791,904",0.212932414,146344,0.011440361,51.45,41.43,4938,42528.27036
"Wilmington, NC",North Carolina,254884,5.406342574,0.06,5,15,3,NA,NA,NA,NA,NA,37684,38922,3.3,36568,37967,3.8,"1,380,867","10,035,186",0.137602532,133848,0.013337869,64,57.67,13607,53385.06929
"Winchester, VA-WV",West Virginia,128472,5.108808485,0.065,7.4,18,NA,NA,NA,NA,NA,24,40802,42436,4,40995,42478,3.6,"495,967","1,841,053",0.269393114,32303,0.017545937,52.55,38.07,5911,46010.02553
"Winchester, VA-WV",West Virginia,128472,5.108808485,0.065,7.4,18,NA,NA,NA,NA,NA,24,40802,42436,4,40995,42478,3.6,"495,967","1,841,053",0.269393114,32303,0.017545937,52.55,38.07,5911,46010.02553
"Winchester, VA-WV",Virginia,128472,5.108808485,0.065,7.4,18,NA,NA,NA,NA,NA,24,40802,42436,4,40995,42478,3.6,"1,392,675","8,367,587",0.166436871,112009,0.013386057,52.55,38.07,5911,46010.02553
"Winchester, VA-WV",Virginia,128472,5.108808485,0.065,7.4,18,NA,NA,NA,NA,NA,24,40802,42436,4,40995,42478,3.6,"1,392,675","8,367,587",0.166436871,112009,0.013386057,52.55,38.07,5911,46010.02553
"Winston-Salem, NC",North Carolina,640595,5.806583545,0.07,8.5,18,6,NA,NA,7,36,33,38813,40217,3.6,39862,41277,3.5,"1,380,867","10,035,186",0.137602532,133848,0.013337869,59.55,46.93,28599,44644.43213
"Worcester, MA-CT",Massachusetts,916980,5.962359863,0.074,5.8,15,5,1,NA,12,49,40,47880,50348,5.2,42572,44636,4.8,"1,250,536","6,784,240",0.184329564,54621,0.00805116,47.8,48.02,39257,42811.18454
"Worcester, MA-CT",Massachusetts,916980,5.962359863,0.074,5.8,15,5,1,NA,12,49,40,47880,50348,5.2,42572,44636,4.8,"1,250,536","6,784,240",0.184329564,54621,0.00805116,47.8,48.02,39257,42811.18454
"Worcester, MA-CT",Connecticut,916980,5.962359863,0.074,5.8,15,5,1,NA,12,49,40,47880,50348,5.2,42572,44636,4.8,"837,225","3,584,730",0.233553155,29476,0.008222656,47.8,48.02,39257,42811.18454
"Worcester, MA-CT",Connecticut,916980,5.962359863,0.074,5.8,15,5,1,NA,12,49,40,47880,50348,5.2,42572,44636,4.8,"837,225","3,584,730",0.233553155,29476,0.008222656,47.8,48.02,39257,42811.18454
"Yakima, WA",Washington,243231,5.386018925,NA,8.6,31,NA,NA,NA,NA,NA,46,37371,38527,3.1,36172,37333,3.2,"1,086,935","7,160,290",0.151800416,90116,0.012585524,49.7,8.35,9023,37096.42274
"York-Hanover, PA",Pennsylvania,434972,5.638461301,0.073,9.5,21,18,1,NA,NA,NA,NA,43099,44651,3.6,41138,42594,3.5,"2,723,811","12,791,904",0.212932414,146344,0.011440361,53.05,42.91,17150,39427.82524
"Youngstown-Warren-Boardman, OH-PA",Pennsylvania,565773,5.752642218,0.071,8,17,13,NA,NA,NA,NA,45,37174,38454,3.4,38696,40201,3.9,"2,723,811","12,791,904",0.212932414,146344,0.011440361,49.05,38.91,21417,37854.4045
"Youngstown-Warren-Boardman, OH-PA",Pennsylvania,565773,5.752642218,0.071,8,17,13,NA,NA,NA,NA,45,37174,38454,3.4,38696,40201,3.9,"2,723,811","12,791,904",0.212932414,146344,0.011440361,49.05,38.91,21417,37854.4045
"Youngstown-Warren-Boardman, OH-PA",Ohio,565773,5.752642218,0.071,8,17,13,NA,NA,NA,NA,45,37174,38454,3.4,38696,40201,3.9,"2,228,586","11,605,090",0.192035219,149213,0.012857548,49.05,38.91,21417,37854.4045
"Youngstown-Warren-Boardman, OH-PA",Ohio,565773,5.752642218,0.071,8,17,13,NA,NA,NA,NA,45,37174,38454,3.4,38696,40201,3.9,"2,228,586","11,605,090",0.192035219,149213,0.012857548,49.05,38.91,21417,37854.4045
"Yuba City, CA",California,166892,5.222435519,0.08,8.1,22,NA,NA,NA,NA,NA,48,36931,39216,6.2,34399,36439,5.9,"4,097,124","38,993,940",0.105070788,261170,0.006697707,N/A,N/A,5765,34543.29746
"Yuma, AZ",Arizona,195751,5.291703989,0.067,8.3,23,NA,NA,NA,NA,NA,224,29262,31574,7.9,28815,31190,8.2,"1,028,888","6,817,565",0.150917226,77349,0.011345546,75.15,3.09,5665,28939.82662
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA
